Series,Division ID,Club,Location ID,First Name,Last Name,PTI,Wins,Losses,Win %
Chicago 9,28869,Tennaqua,16184,Bryan,Benavides,34.3,70,50,58.3%
Chicago 9,28869,Tennaqua,16184,William,Burns,34.1,40,50,44.4%
Chicago 9,28869,Tennaqua,16184,Steve,Fretzin,30.9,63,69,47.7%
Chicago 9,28869,Tennaqua,16184,Billy,Friedman,34.2,18,10,64.3%
Chicago 9,28869,Tennaqua,16184,Aaron,Goser,34.3,46,30,60.5%
Chicago 9,28869,Tennaqua,16184,Josh,Gray,31.9,57,38,60.0%
Chicago 9,28869,Tennaqua,16184,David,Green,32.5,46,37,55.4%
Chicago 9,28869,Tennaqua,16184,Drew,Moran,32.5,71,48,59.7%
Chicago 9,28869,Tennaqua,16184,Michael,Resnick,33.3,78,86,47.6%
Chicago 9,28869,Tennaqua,16184,Brad,Sipe,37.6,9,22,29.0%
